Title,RATING,Price,Discount
20Dresses,4.3,1271,25
20Dresses,4.3,1796,25
20Dresses,4.2,2246,25
20Dresses,4.3,1116,30
20Dresses,4.3,1426,35
360 Block,4.4,160,36
7Threads,4.4,449,55
999Store,4.4,699,65
999Store,4.1,1699,66
999Store,4.3,1699,66
999Store,4.6,1699,66
999Store,4.6,1699,66
999Store,5,1699,66
999Store,5,1699,66
999Store,5,1699,66
999Store,4.3,3059,66
999Store,4.2,3299,67
999Store,3,1599,68
999Store,4.2,1599,68
999Store,4.8,1599,68
999Store,3.8,1549,69
999Store,4.1,1549,69
999Store,4.1,1549,69
999Store,4.4,1549,69
999Store,4.6,1549,69
999Store,4.6,1549,69
999Store,4,2699,70
999Store,4.5,2999,70
999Store,3.8,1449,71
999Store,3.9,1449,71
999Store,4.1,1449,71
999Store,4.2,1449,71
999Store,4.2,1449,71
999Store,4.6,1449,71
999Store,4.1,3119,74
999Store,4.3,1149,77
999Store,3.2,1839,77
999Store,4.3,899,85
A Homes Grace,4.1,3600,20
A Homes Grace,4.1,3600,20
A Homes Grace,4.5,3600,20
A Homes Grace,4.6,3375,25
A Homes Grace,4.4,1400,60
A Homes Grace,4.5,1400,60
aadi,3.8,699,65
Aapno Rajasthan,4.1,2880,55
Aapno Rajasthan,4.5,880,60
Aapno Rajasthan,4.4,924,67
Aapno Rajasthan,3.9,1200,70
Aapno Rajasthan,2.8,1740,70
Aapno Rajasthan,3.7,1740,70
Aapno Rajasthan,4.8,2640,70
Aapno Rajasthan,3.2,660,70
Aapno Rajasthan,4.3,660,70
Aapno Rajasthan,3.9,720,70
Aapno Rajasthan,4.8,900,70
aasi,4.5,384,65
aasi,4.5,899,70
AASI  HOUSE OF NAYO,3.9,719,40
AASI  HOUSE OF NAYO,4.6,849,50
Abena,4.4,89,10
Abena,4.5,264,21
Abena,4.3,395,44
Action,2,1044,5
Action,4.1,1139,5
Action,3.6,759,5
Action,3.7,949,5
Action,4.1,949,5
Action,4.6,786,25
ADIDAS,4.4,1439,20
ADIDAS,4.4,3599,25
ADIDAS,4.2,2799,30
ADIDAS,4.3,2799,30
ADIDAS,3.8,2989,35
ADIDAS,4.1,2989,35
ADIDAS,4.2,2989,35
ADIDAS,3.9,3119,35
ADIDAS,4.1,3119,35
ADIDAS,4.4,3338,37
ADIDAS,4.5,5039,37
ADIDAS,4.1,1979,40
ADIDAS,4.3,4799,40
ADIDAS Originals,3.9,3359,40
AfroJack,3.9,733,79
AfroJack,3.4,599,80
AfroJack,3.3,649,80
AfroJack,3.5,649,80
AfroJack,3.6,649,80
AfroJack,3.7,649,80
AfroJack,4.2,649,80
AfroJack,4.2,649,80
AfroJack,4.3,699,80
AfroJack,4.4,699,80
AfroJack,3.1,749,80
AfroJack,4.2,749,80
AfroJack,4.6,749,80
AfroJack,3.2,699,3046
Ahalyaa,4.3,1768,56
Ahalyaa,4.3,1821,56
Ahalyaa,4.3,1054,60
Ahalyaa,4.3,1679,60
Ahalyaa,4.6,2185,60
Ahalyaa,4.3,2400,60
Ahalyaa,2.3,982,60
Ahalyaa,4.1,1497,61
Ahalyaa,4.3,1629,61
Ahalyaa,4.5,869,61
Ahalyaa,4.2,1662,62
Ahalyaa,4.6,1662,62
Ahalyaa,4.4,1530,64
Ahalyaa,4.5,954,64
Ahalyaa,4.6,2292,65
Ahalyaa,4,1632,66
Ahalyaa,4.6,2023,66
Ahalyaa,4.6,2326,67
Ahalyaa,4.6,1183,68
Ahalyaa,4.2,1464,68
Ahalyaa,4.4,1500,70
Ahalyaa,4.5,1595,71
AHIKA,4.6,493,42
AHIKA,4.1,694,42
AHIKA,4.3,694,42
AHIKA,4.3,694,42
AHIKA,4.3,694,42
AHIKA,4.3,694,42
AHIKA,4.4,694,42
AHIKA,4.5,694,42
AHIKA,4.5,694,42
AHIKA,4.7,694,42
AHIKA,4.1,490,43
AHIKA,4.2,490,43
AHIKA,4.2,490,43
AHIKA,4.3,490,43
AHIKA,4.3,490,43
AHIKA,4.4,490,43
AHIKA,4.4,490,43
AHIKA,4.4,490,43
AHIKA,4.4,490,43
AHIKA,4.4,490,43
AHIKA,4.5,490,43
AHIKA,4.5,490,43
AHIKA,4.3,489,49
AHIKA,4.8,489,49
AHIKA,4.2,688,49
AHIKA,4.6,688,49
AHIKA,4.6,688,49
AHIKA,4.6,688,49
AHIKA,4.6,688,49
AHIKA,4.2,699,50
AHIKA,4.6,699,50
AHIKA,4.4,395,54
AHIKA,4.4,395,54
AHIKA,4.8,395,54
AHIKA,4.4,899,55
AHIKA,4.4,1396,57
AHIKA,4.8,490,57
AHIKA,4.8,490,57
AHIKA,4.4,983,59
AHIKA,4.1,1398,60
AHIKA,4.2,1398,60
AHIKA,4.7,1398,60
AHIKA,4.1,698,60
AHIKA,4.3,698,60
AHIKA,4.3,998,60
AHIKA,4.3,1386,63
AHIKA,4.4,1386,63
AHIKA,4.4,1386,63
AHIKA,4.5,396,64
AHIKA,4.2,1398,65
AHIKA,4.3,1398,65
AHIKA,4.7,1398,65
Ajile by Pantaloons,4.3,740,43
Ajile by Pantaloons,4.3,740,43
Ajile by Pantaloons,3.9,636,51
Ajile by Pantaloons,2.9,674,55
Ajmal,4.1,1020,15
Ajmal,4.6,1955,15
Ajmal,4.7,2337,15
Ajmal,3.9,639,20
Ajmal,3.9,639,20
Ajmal,4.3,1725,25
Ajmal,4.3,1725,25
Ajmal,4.2,2250,25
Ajmal,4.5,2475,25
Ajmal,4.5,2475,25
Ajmal,4.6,2475,25
Ajmal,4.6,2475,25
Ajmal,4.8,2699,25
Ajmal,4.2,3000,25
Ajmal,4.1,4350,25
Ajmal,4.2,599,25
Ajmal,4.2,599,25
Ajmal,4,900,25
Ajmal,4.4,900,25
Ajmal,4.4,900,25
Ajmal,4.3,267,33
Ajmal,4.4,1155,34
Ajmal,4.4,1155,34
Ajmal,4.6,2560,36
Ajmal,4.6,2560,36
Ajmal,4.1,1080,40
Ajmal,4.1,1080,40
Ajmal,4.4,1260,40
Ajmal,3.8,1320,40
Ajmal,4.4,1380,40
Ajmal,4.4,1380,40
Ajmal,4.5,1500,40
Ajmal,4.5,1500,40
Ajmal,4.1,2730,40
Ajmal,3.9,300,40
Ajmal,4,300,40
Ajmal,4,300,40
Ajmal,4,3000,40
Ajmal,4.4,750,40
Ajmal,3.9,779,40
Ajmal,3.8,900,40
Ajmal,4,958,40
Ajmal,4.6,825,45
Ajmal,4.1,699,46
Ajmal,3.8,149,50
Ajmal,3.8,149,50
Ajmal,3.9,149,50
Ajmal,3.9,149,50
Ajmal,4.9,2750,50
Ajmal,4.9,2750,50
Ajmal,4,299,50
Ajmal,4.1,299,50
Ajmal,4.1,300,50
Ajmal,4.1,300,50
Ajmal,4.1,300,50
Ajmal,4.3,300,50
Ajmal,4.3,300,50
Ajmal,4.3,598,50
Ajmal,4.3,598,50
Ajmal,4.3,698,50
Ajmal,4.3,698,50
Ajmal,4.3,698,50
Ajmal,4.3,698,50
Ajmal,3.7,151,62
Ajmal,3.7,151,62
Ajmal,4.3,277,63
AkashKrishna,4.6,399,11
AkashKrishna,4.6,179,36
Akshatani,4.4,719,52
Alina decor,4.4,1169,35
Alina decor,4.1,1044,45
Alina decor,4,584,55
Alina decor,4.3,584,55
Alina decor,4.3,515,57
Alina decor,3.7,349,65
Alishtezia,4.2,799,20
Alishtezia,4.3,799,20
Alishtezia,3.9,749,25
Alishtezia,3.8,699,30
Alishtezia,4.4,699,30
Alishtezia,4.5,699,30
Alishtezia,4.3,649,35
Alishtezia,4.4,649,35
Alishtezia,4.4,649,35
Alishtezia,4.4,649,35
Alishtezia,4.5,649,35
Alishtezia,4.9,649,35
Alishtezia,4.9,649,35
Alishtezia,5,649,35
Alishtezia,4.1,799,50
Alishtezia,4.2,799,50
Alishtezia,4.3,799,50
Alishtezia,4.3,799,50
Alishtezia,4.3,1759,56
Alishtezia,3.5,703,56
Alishtezia,4.4,1187,64
Alishtezia,4.6,1187,64
all about you,3.9,1799,40
all about you,3.7,1099,45
all about you,4.4,3299,45
all about you,3.9,3574,45
all about you,4.5,1149,50
all about you,4.4,1249,50
all about you,4.5,1800,50
all about you,4.5,2199,50
all about you,4.3,1799,55
all about you,5,2114,55
all about you,4.4,2699,55
all about you,4.2,674,55
all about you,4.2,764,55
all about you,4.3,899,55
all about you,4.5,899,55
all about you,4.5,989,55
all about you,4.3,919,60
all about you,4.7,1644,65
Allen Cooper,4.1,1407,68
Allen Cooper,3.9,1288,70
Allen Solly,4.3,1124,25
Allen Solly,4.6,1124,25
Allen Solly,4.3,1349,25
Allen Solly,4.4,1349,25
Allen Solly,4.3,1499,25
Allen Solly,4.4,1499,25
Allen Solly,4.5,1499,25
Allen Solly,4.5,1499,25
Allen Solly,4.4,1119,30
Allen Solly,4.4,1259,30
Allen Solly,3.8,1399,30
Allen Solly,4.1,1399,30
Allen Solly,4.3,1399,30
Allen Solly,4.4,1399,30
Allen Solly,4.5,1399,30
Allen Solly,4.2,1609,30
Allen Solly,4.4,1609,30
Allen Solly,4.4,1494,35
Allen Solly Woman,4.5,1519,20
ALLURE,4.3,225,10
ALLURE,4.3,225,10
ALLURE,4.5,449,10
ALLURE,4.2,567,10
ALLURE,4.5,424,15
ALLURE,4.5,424,15
ALLURE,4.5,180,20
ALLURE,4.4,74,25
ALLURE,4.6,822,30
